ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 02/12/2025;COBERTURA;IMPORTE AFILIADO;AHORRO TOTAL;RANGO DE COBERTURA
54402;etoricoxib;FOLDOX;120 mg comp.x 7;Sidus;$ 14.281,99;50%;$ 7.141,00;$ 7.140,99;MEDIA
54399;etoricoxib;FOLDOX;60 mg comp.x 28;Sidus;$ 3.067,80;50%;$ 1.533,90;$ 1.533,90;MEDIA
54400;etoricoxib;FOLDOX;90 mg comp.x 14;Sidus;$ 27.135,78;50%;$ 13.567,89;$ 13.567,89;MEDIA
54401;etoricoxib;FOLDOX;90 mg comp.x 28;Sidus;$ 45.702,38;50%;$ 22.851,19;$ 22.851,19;MEDIA
26697;fluoxetina;NERVOSAL;10 mg c�ps.x 30;Sidus;$ 1.285,74;50%;$ 642,87;$ 642,87;MEDIA
26698;fluoxetina;NERVOSAL;10 mg c�ps.x 60;Sidus;$ 2.174,69;50%;$ 1.087,35;$ 1.087,34;MEDIA
23416;fluoxetina;NERVOSAL;20 mg c�ps.x 30;Sidus;$ 1.349,27;50%;$ 674,64;$ 674,63;MEDIA
23417;fluoxetina;NERVOSAL;20 mg c�ps.x 60;Sidus;$ 2.396,97;50%;$ 1.198,49;$ 1.198,48;MEDIA
48457;gatifloxacina;GATIFLAX;sol.oft�lmica x 5 ml;Sidus;$ 25.442,18;80%;$ 5.088,44;$ 20.353,74;ALTA
52534;gatifloxacina+dexametasona;GATIFLAX D;susp.oft�lmica x 5 ml;Sidus;$ 29.680,90;50%;$ 14.840,45;$ 14.840,45;MEDIA
26686;haloperidol;NEUPRAM;1 mg comp.x 30;Sidus;$ 522,62;60%;$ 209,05;$ 313,57;MEDIA
26687;haloperidol;NEUPRAM;1 mg comp.x 60;Sidus;$ 777,27;60%;$ 310,91;$ 466,36;MEDIA
26690;haloperidol;NEUPRAM;10 mg comp.x 30;Sidus;$ 1.206,08;60%;$ 482,43;$ 723,65;MEDIA
26691;haloperidol;NEUPRAM;10 mg comp.x 60;Sidus;$ 2.144,48;60%;$ 857,79;$ 1.286,69;MEDIA
26688;haloperidol;NEUPRAM;5 mg comp.x 30;Sidus;$ 871,08;60%;$ 348,43;$ 522,65;MEDIA
26689;haloperidol;NEUPRAM;5 mg comp.x 60;Sidus;$ 1.675,28;60%;$ 670,11;$ 1.005,17;MEDIA
50903;hidrosmina;VENOSMIL;c�ps.x 36;Sidus;$ 2.899,34;50%;$ 1.449,67;$ 1.449,67;MEDIA
18036;hidrosmina;VENOSMIL;c�ps.x 60;Sidus;$ 4.117,49;50%;$ 2.058,75;$ 2.058,74;MEDIA
17568;hierro+f�lico,�c.;RUBIRON;comp.rec.x 30;Sidus;$ 13.332,33;50%;$ 6.666,17;$ 6.666,16;MEDIA
40007;hierro,sulfato;TARDYFERON;comp.rec.x 30;Sidus;$ 9.043,28;50%;$ 4.521,64;$ 4.521,64;MEDIA
37736;latanoprost;LATANOFLAX;50mcg/ml gts.oft.x 2.5ml;Sidus;$ 23.791,09;60%;$ 9.516,44;$ 14.274,65;MEDIA
53117;levofloxacina;SEPTIBIOTIC;500 mg comp.rec.ran.x 14;Sidus;$ 30.412,99;60%;$ 12.165,20;$ 18.247,79;MEDIA
38673;levofloxacina;SEPTIBIOTIC;500 mg comp.rec.ran.x 7;Sidus;$ 19.486,40;60%;$ 7.794,56;$ 11.691,84;MEDIA
41035;levofloxacina;SEPTIBIOTIC;750 mg comp.rec.x 5;Sidus;$ 22.427,81;60%;$ 8.971,12;$ 13.456,69;MEDIA
51430;lidoca�na;INDICAN GEL;5% pote x 20 g;Sidus;$ 20.437,63;50%;$ 10.218,82;$ 10.218,81;MEDIA
15341;lidoca�na;INDICAN;spray x 60 ml;Sidus;$ 14.325,75;50%;$ 7.162,88;$ 7.162,87;MEDIA
50251;metilfenidato;MFD;10 mg comp.x 30;Sidus;$ 2.138,92;50%;$ 1.069,46;$ 1.069,46;MEDIA
50252;metilfenidato;MFD;10 mg comp.x 60;Sidus;$ 3.945,51;50%;$ 1.972,76;$ 1.972,75;MEDIA
50253;metilfenidato;MFD;20 mg comp.x 30;Sidus;$ 3.969,37;50%;$ 1.984,69;$ 1.984,68;MEDIA
8363;metoclopramida+simeticona+asoc.;FARADIL 200;200 mg grag.x 50;Sidus;$ 9.358,20;50%;$ 4.679,10;$ 4.679,10;MEDIA
8361;metoclopramida+simeticona+asoc.;FARADIL;comp.x 50;Sidus;$ 9.358,20;50%;$ 4.679,10;$ 4.679,10;MEDIA
31829;mosapride;VAGANTYL;5 mg comp.rec.x 30;Sidus;$ 11.109,65;50%;$ 5.554,83;$ 5.554,82;MEDIA
31830;mosapride;VAGANTYL;5 mg comp.rec.x 60;Sidus;$ 19.983,45;50%;$ 9.991,73;$ 9.991,72;MEDIA
34785;mosapride;VAGANTYL;5 mg/ml gts.x 20 ml;Sidus;$ 10.910,51;50%;$ 5.455,26;$ 5.455,25;MEDIA
52910;olopatadine;OLORATAN;0.2% sol.oft.x 2.5 ml;Sidus;$ 23.148,95;50%;$ 11.574,48;$ 11.574,47;MEDIA
36638;prednisolona+fenilefrina;EFECORYL FORTE;susp.oft.x 10 ml;Sidus;$ 13.574,47;80%;$ 2.714,89;$ 10.859,58;ALTA
44839;rosuvastatina;PARASUL;10 mg comp.x 28;Sidus;$ 33.214,88;50%;$ 16.607,44;$ 16.607,44;MEDIA
50619;rosuvastatina;PARASUL;20 mg comp.x 28;Sidus;$ 59.800,90;50%;$ 29.900,45;$ 29.900,45;MEDIA
50618;rosuvastatina;PARASUL;5 mg comp.x 28;Sidus;$ 23.608,89;50%;$ 11.804,45;$ 11.804,44;MEDIA
54490;ruscogenina+hesperidina+asoc.;CYCLO 3;c�ps.x 28;Sidus;$ 41.284,29;40%;$ 24.770,57;$ 16.513,72;BAJA
54491;ruscogenina+hesperidina+asoc.;CYCLO 3;c�ps.x 56;Sidus;$ 75.578,69;40%;$ 45.347,21;$ 30.231,48;BAJA
39630;ruscogenina+meliloto,ext.fluido;CYCLO 3;cr.x 100;Sidus;$ 32.919,08;40%;$ 19.751,45;$ 13.167,63;BAJA
26784;serenoa repens;PERMIXON;160 mg c�ps.x 30;Sidus;$ 2.528,74;50%;$ 1.264,37;$ 1.264,37;MEDIA
26786;serenoa repens;PERMIXON;160 mg c�ps.x 60;Sidus;$ 4.379,42;50%;$ 2.189,71;$ 2.189,71;MEDIA
30511;serenoa repens;PERMIXON;320 mg c�ps.x 30;Sidus;$ 55.048,63;50%;$ 27.524,32;$ 27.524,31;MEDIA
45848;sildenafil;MAGNUS;50 mg caps.blandas x 10;Sidus;$ 2.140,11;50%;$ 1.070,06;$ 1.070,05;MEDIA
45847;sildenafil;MAGNUS;50 mg caps.blandas x 2;Sidus;$ 440,61;50%;$ 220,31;$ 220,30;MEDIA
5397;timolol,maleato;PROFLAX;0.25% sol.oft.x 5 ml;Sidus;$ 6.304,41;80%;$ 1.260,88;$ 5.043,53;ALTA
5398;timolol,maleato;PROFLAX;0.50% sol.oft.x 5 ml;Sidus;$ 15.214,31;80%;$ 3.042,86;$ 12.171,45;ALTA
49988;tirotricina+asoc.;SULFANORAL T;sol.x 20 ml;Sidus;$ 6.716,68;50%;$ 3.358,34;$ 3.358,34;MEDIA
36291;tobramicina+dexametasona;DECADRON CON TOBRAMICINA;susp.oft.x 5 ml;Sidus;$ 11.748,63;50%;$ 5.874,32;$ 5.874,31;MEDIA
8414;triac;TRIACANA;0.35 mg comp.x 100;Sidus;$ 14.521,02;50%;$ 7.260,51;$ 7.260,51;MEDIA
8416;triac;TRIACANA AP;c�ps.x 30;Sidus;$ 46.645,95;50%;$ 23.322,98;$ 23.322,97;MEDIA
49931;vacuna oral polivalente;MEGABRON;c�ps.x 12;Sidus;$ 28.210,37;50%;$ 14.105,19;$ 14.105,18;MEDIA
42661;accesorio;LANCETAS ULTRA SOFT;lancetas x 100;Sidus-Lifescan;$ 13.178,43;100%;$ 0,00;$ 13.178,43;ALTA
57930;accesorio;ONE TOUCH DELICA PLUS;lancetas x 100;Sidus-Lifescan;$ 12.450,31;100%;$ 0,00;$ 12.450,31;ALTA
56931;accesorio;ONE TOUCH DELICA;lancetas x 100;Sidus-Lifescan;$ 1.357,93;100%;$ 0,00;$ 1.357,93;ALTA
42662;accesorio;LANCETAS GENTLE;lancetas x 200;Sidus-Lifescan;$ 27.566,32;100%;$ 0,00;$ 27.566,32;ALTA
32226;accesorio;LANCETAS ULTRA SOFT;lancetas x 25;Sidus-Lifescan;$ 5.295,95;100%;$ 0,00;$ 5.295,95;ALTA
56514;accesorio;ONE TOUCH DELICA;lancetas x 25;Sidus-Lifescan;$ 545,71;100%;$ 0,00;$ 545,71;ALTA
57929;accesorio;ONE TOUCH DELICA PLUS;lancetas x 25;Sidus-Lifescan;$ 5.609,09;100%;$ 0,00;$ 5.609,09;ALTA
37390;tiras reactivas;ONE TOUCH ULTRA;tiras reactivas x 25;Sidus-Lifescan;$ 34.328,18;100%;$ 0,00;$ 34.328,18;ALTA
56512;tiras reactivas;ONE TOUCH SELECT PLUS;tiras reactivas x 25;Sidus-Lifescan;$ 34.328,18;100%;$ 0,00;$ 34.328,18;ALTA
32224;tiras reactivas;ONE TOUCH ULTRA;tiras reactivas x 50;Sidus-Lifescan;$ 61.921,89;100%;$ 0,00;$ 61.921,89;ALTA
56513;tiras reactivas;ONE TOUCH SELECT PLUS;tiras reactivas x 50;Sidus-Lifescan;$ 61.921,89;100%;$ 0,00;$ 61.921,89;ALTA
53398;acenocumarol;SINTROM;1 mg comp.x 20;Siegfried;$ 3.726,83;80%;$ 745,37;$ 2.981,46;ALTA
2232;acenocumarol;SINTROM;4 mg comp.x 20;Siegfried;$ 12.839,79;80%;$ 2.567,96;$ 10.271,83;ALTA
21646;acetilciste�na;ACEMUK;600 mg tab.eferv.x 10;Siegfried;$ 14.406,39;40%;$ 8.643,83;$ 5.762,56;BAJA
21647;acetilciste�na;ACEMUK;600 mg tab.eferv.x 20;Siegfried;$ 23.413,59;40%;$ 14.048,15;$ 9.365,44;BAJA
43208;acetilciste�na;ACEMUK;600 mg tab.eferv.x 5;Siegfried;$ 11.089,15;40%;$ 6.653,49;$ 4.435,66;BAJA
45711;acetilciste�na;ACEMUK;600 mg tab.eferv.x 60;Siegfried;$ 62.040,46;40%;$ 37.224,28;$ 24.816,18;BAJA
